,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3,,
204,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
205,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
206,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
207,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
208,4.944,21.39,0,0,2.576,0,18.29,0,7.104,0,4.536,19.024,0,,
209,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
210,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
211,24.026,2.152,0,0,17.75,0,3.114,0,26.508,0,4.722,0,0,,
212,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
213,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
214,24.03,2.048,0,0,17.736,0,3.014,0,23.752,0,4.536,2.58,0,,
215,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
216,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
217,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
218,4.788,21.438,0,0,2.478,0,18.3,0,6.966,0,4.542,19.108,0,,
219,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
220,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
221,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
222,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
223,4.94,21.494,0,0,2.59,0,18.39,0,9.86,0,4.722,16.444,0,,
224,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
225,5.1,21.342,0,0,2.726,0,18.25,0,9.894,0,4.516,16.444,0,,
226,4.944,21.382,0,0,2.57,0,18.298,0,7.118,0,4.546,18.998,0,,
227,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
228,5.1,21.342,0,0,2.726,0,18.25,0,9.894,0,4.516,16.444,0,,
229,24.03,2.048,0,0,17.736,0,3.014,0,23.752,0,4.536,2.58,0,,
230,5.1,21.342,0,0,2.726,0,18.25,0,9.894,0,4.516,16.444,0,,
231,4.788,21.438,0,0,2.478,0,18.3,0,6.966,0,4.542,19.108,0,,
232,24.026,2.152,0,0,17.75,0,3.114,0,26.508,0,4.722,0,0,,
233,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
234,23.876,2.092,0,0,17.622,0,3.018,0,23.594,0,4.528,2.598,0,,
235,4.942,21.492,0,0,2.6,0,18.38,0,9.916,0,4.71,16.444,0,,
236,4.788,21.438,0,0,2.478,0,18.3,0,6.966,0,4.542,19.108,0,,
237,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
238,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
239,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
240,5.1,21.342,0,0,2.726,0,18.25,0,9.894,0,4.516,16.444,0,,
241,4.944,21.39,0,0,2.576,0,18.29,0,7.104,0,4.536,19.024,0,,
242,23.874,2.04,0,0,17.672,0,2.992,0,26.27,0,4.528,0,0,,
243,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
244,24.026,2.152,0,0,17.75,0,3.114,0,26.508,0,4.722,0,0,,
245,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
246,4.79,21.434,0,0,2.462,0,18.294,0,6.946,0,4.528,19.042,0,,
247,24.026,2.152,0,0,17.75,0,3.114,0,26.508,0,4.722,0,0,,
248,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
249,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
