interval_begin,interval_end,interval_id,edge_CO2_abs,edge_CO2_normed,edge_CO2_perVeh,edge_CO_abs,edge_CO_normed,edge_CO_perVeh,edge_HC_abs,edge_HC_normed,edge_HC_perVeh,edge_NOx_abs,edge_NOx_normed,edge_NOx_perVeh,edge_PMx_abs,edge_PMx_normed,edge_PMx_perVeh,edge_electricity_abs,edge_electricity_normed,edge_electricity_perVeh,edge_fuel_abs,edge_fuel_normed,edge_fuel_perVeh,edge_id,edge_sampledSeconds,edge_traveltime
28.00,29.00,em1,16716.174726,61022.165565,219658.926634,89.136304,325.390851,1171.295779,3.796769,13.860054,49.891453,30.609199,111.738460,402.220241,1.284136,4.687722,16.874195,0,0,0,6.664487,24.328617,87.574701,0to1,6.00,78.84
28.00,29.00,em1,10724.353473,39149.104619,229316.327335,105.556028,385.330827,2257.079719,2.991994,10.922232,63.977098,21.236790,77.524608,454.101275,1.035513,3.780126,22.142132,0,0,0,4.275636,15.608150,91.424917,0to2,4.00,85.53
29.00,30.00,em1,1840.177982,66246407.338956,72.202205,28.812088,1037235.170079,1.130486,0.663332,23879.966306,0.026027,3.961954,142630.332005,0.155453,0.241565,8696.356454,0.009478,0,0,0,0.733650,26411.408603,0.028786,-1to0,0.53,0.02
29.00,30.00,em1,6766.919068,24702.544840,89418.687613,54.285188,198.167329,717.329434,1.737190,6.341587,22.955382,13.014224,47.508245,171.971145,0.589150,2.150684,7.785084,0,0,0,2.697868,9.848530,35.649873,0to1,6.00,79.28
29.00,30.00,em1,11283.296583,41189.518743,226800.893654,114.089562,416.482375,2293.267259,3.143325,11.474665,63.182680,22.634794,82.628003,454.972661,1.221720,4.459872,24.557289,0,0,0,4.498478,16.421631,90.422047,0to2,4.35,87.39
30.00,31.00,em1,2167.199036,78019165.290793,88.423315,33.136838,1192926.162112,1.352007,0.847746,30518.872976,0.034589,4.479720,161269.924960,0.182776,0.263817,9497.429677,0.010764,0,0,0,0.864028,31105.022062,0.035253,-1to0,1.00,0.04
30.00,31.00,em1,16861.789277,61553.729476,215214.543763,82.382982,300.737940,1051.490772,3.759280,13.723200,47.981371,30.640979,111.854472,391.084495,1.223658,4.466947,15.618094,0,0,0,6.722542,24.540546,85.802801,0to1,6.00,76.58
30.00,31.00,em1,16628.008301,60700.315242,288176.172185,201.483783,735.513773,3491.868912,4.980282,18.180450,86.312114,34.491276,125.909927,597.760337,1.896138,6.921827,32.861537,0,0,0,6.629332,24.200285,114.891420,0to2,5.00,86.65
31.00,32.00,em1,1284.599678,46245588.401804,50.394960,13.895783,500248.200453,0.545133,0.447819,16121.481919,0.017568,2.426322,87347.582033,0.095185,0.114269,4113.677813,0.004483,0,0,0,0.512150,18437.395072,0.020092,-1to0,0.67,0.03
31.00,32.00,em1,12355.672454,45104.212086,156462.654308,31.611983,115.399109,400.309640,2.430036,8.870814,30.772094,21.633945,78.974419,273.955504,0.824825,3.011014,10.444950,0,0,0,4.926022,17.982376,62.379325,0to1,6.00,75.98
31.00,32.00,em1,14902.226427,54400.372286,244933.975693,148.962921,543.787091,2448.364389,4.132650,15.086182,67.924509,29.736228,108.551691,488.746604,1.486638,5.426951,24.434477,0,0,0,5.941290,21.688598,97.651439,0to2,5.00,82.18
32.00,33.00,em1,9408.750747,34346.514990,113796.348683,88.857341,324.372498,1074.706003,2.587606,9.446019,31.296405,18.545249,67.699177,224.299878,0.916641,3.346185,11.086528,0,0,0,3.751125,13.693432,45.368869,0to1,6.79,82.14
32.00,33.00,em1,9302.848044,33959.918632,149670.222939,114.284805,417.195105,1838.687690,2.797801,10.213333,45.012822,19.228835,70.194598,309.365910,0.994664,3.631006,16.002789,0,0,0,3.708903,13.539299,59.671222,0to2,5.00,80.44
33.00,34.00,em1,1526.233022,54944388.798060,79.774691,19.748706,710953.416745,1.032245,0.615173,22146.225959,0.032154,2.898824,104357.679719,0.151519,0.146222,5263.999795,0.007643,0,0,0,0.608485,21905.469683,0.031805,-1to0,1.00,0.05
33.00,34.00,em1,12323.238116,44985.810984,142463.971706,137.048835,500.294883,1584.366146,3.589130,13.102069,41.492479,24.866392,90.774423,287.470305,1.215254,4.436268,14.049059,0,0,0,4.913086,17.935155,56.798206,0to1,7.00,80.92
33.00,34.00,em1,11502.483065,41989.655976,178205.934993,166.557504,608.015872,2580.445934,3.637213,13.277596,56.350696,25.015052,91.317105,387.553782,1.488931,5.435323,23.067748,0,0,0,4.585863,16.740631,71.047969,0to2,5.00,77.46
34.00,35.00,em1,2038.023527,73368846.985588,66.023389,28.743127,1034752.583310,0.931156,0.737232,26540.357222,0.023883,4.189605,150825.769662,0.135726,0.235750,8487.001420,0.007637,0,0,0,0.812528,29251.014160,0.026322,-1to0,0.79,0.03
34.00,35.00,em1,12577.220440,45912.969958,143381.245927,142.103290,518.746103,1619.988048,3.626321,13.237836,41.340333,25.749285,93.997411,293.543760,1.357951,4.957183,15.480747,0,0,0,5.014346,18.304799,57.163911,0to1,7.00,79.80
34.00,35.00,em1,8672.466447,31658.719296,132554.796519,46.509341,169.781710,710.874619,1.960866,7.158115,29.970968,15.943877,58.202902,243.695070,0.663610,2.422498,10.142979,0,0,0,3.457582,12.621855,52.847604,0to2,5.00,76.42
35.00,36.00,em1,2013.035650,72469283.405564,86.120384,29.811113,1073200.052060,1.275360,0.790727,28466.164001,0.033828,4.094706,147409.416507,0.175177,0.234392,8438.123374,0.010028,0,0,0,0.802566,28892.371004,0.034335,-1to0,1.00,0.04
35.00,36.00,em1,18654.886915,68099.407703,199307.437272,216.114800,788.924101,2308.954603,5.419688,19.784495,57.903545,38.405487,140.198703,410.321398,2.109155,7.699441,22.534056,0,0,0,7.437418,27.150192,79.460827,0to1,7.67,81.98
35.00,36.00,em1,11582.595864,42282.106644,173379.386280,58.060842,211.950303,869.110277,2.580183,9.418922,38.622647,21.126373,77.121534,316.239785,0.838054,3.059306,12.544801,0,0,0,4.617807,16.857241,69.123760,0to2,5.00,74.84
36.00,37.00,em1,1388.454828,49984373.812749,52.147894,15.549543,559783.547295,0.584013,0.487462,17548.642996,0.018308,2.645992,95255.699298,0.099379,0.127181,4578.503556,0.004777,0,0,0,0.553555,19927.990396,0.020791,-1to0,0.70,0.03
36.00,37.00,em1,14404.190017,52582.297233,146197.931953,138.042617,503.922673,1401.088514,3.972994,14.503360,40.324622,28.346889,103.479928,287.711876,1.338983,4.887939,13.590251,0,0,0,5.742731,20.963760,58.286886,0to1,8.00,81.20
36.00,37.00,em1,287.240336,1048.566890,4420.326077,3.216854,11.743080,49.503987,0.100845,0.368134,1.551899,0.547397,1.998264,8.423858,0.026311,0.096047,0.404896,0,0,0,0.114518,0.418047,1.762315,0to2,5.15,79.19
37.00,38.00,em1,14103.470675,51484.525415,140638.355532,79.326566,289.580537,791.036338,3.292747,12.020128,32.834933,25.955641,94.750709,258.826974,1.089026,3.975474,10.859655,0,0,0,5.622841,20.526103,56.070388,0to1,8.00,79.78
37.00,38.00,em1,12724.356630,46450.088593,179553.544860,108.696300,396.794344,1533.814752,3.377929,12.331082,47.665990,24.615613,89.858957,347.351205,1.162231,4.242709,16.400260,0,0,0,5.073007,18.518944,71.585268,0to2,6.00,84.67
38.00,39.00,em1,1126.675758,40560327.284846,78.521803,12.288501,442386.044331,0.856427,0.479628,17266.620531,0.033427,1.951471,70252.943226,0.136005,0.081686,2940.706606,0.005693,0,0,0,0.449188,16170.769234,0.031305,-1to0,1.00,0.07
38.00,39.00,em1,13140.085632,47967.701589,130737.150478,151.074265,551.494523,1503.111886,3.823954,13.959292,38.046393,26.888781,98.157126,267.529660,1.381410,5.042817,13.744320,0,0,0,5.238751,19.123989,52.122902,0to1,8.00,79.60
38.00,39.00,em1,12747.612814,46534.984972,176601.553081,107.159396,391.183898,1484.553696,3.342685,12.202424,46.308536,24.817997,90.597755,343.820981,1.232644,4.499751,17.076680,0,0,0,5.082279,18.552790,70.408350,0to2,6.00,83.12
39.00,40.00,em1,1562.103053,56235709.897007,55.991230,16.622158,598397.703460,0.595796,0.580292,20890.506768,0.020800,2.858788,102916.363681,0.102469,0.128799,4636.753613,0.004617,0,0,0,0.622786,22420.300135,0.022323,-1to0,1.00,0.04
39.00,40.00,em1,16374.230217,59773.901843,159533.614001,171.605651,626.444063,1671.948497,4.561270,16.650854,44.440312,33.033182,120.587176,321.841262,1.666094,6.082054,16.232704,0,0,0,6.528156,23.830944,63.603622,0to1,8.00,77.94
39.00,40.00,em1,14547.301203,53104.722646,196468.463464,141.902244,518.012189,1916.459661,3.957912,14.448304,53.453554,28.965496,105.738145,391.193285,1.470266,5.367187,19.856672,0,0,0,5.799787,21.172043,78.328982,0to2,6.00,81.03
40.00,41.00,em1,433.118889,15592279.999678,55.869287,5.518159,198653.713493,0.711804,0.150610,5421.970105,0.019428,0.867767,31239.597177,0.111936,0.045805,1648.984931,0.005909,0,0,0,0.172678,6216.398909,0.022274,-1to0,0.17,0.02
40.00,41.00,em1,14778.801608,53949.811685,141815.680985,78.603772,286.941988,754.272762,3.373419,12.314620,32.370943,27.038818,98.704832,259.461386,1.106230,4.038279,10.615260,0,0,0,5.892086,21.508978,56.539777,0to1,8.25,79.19
40.00,41.00,em1,21799.425805,79578.503602,273947.790848,238.035834,868.946531,2991.335245,6.187058,22.585771,77.751174,44.096207,160.972595,554.145716,2.164635,7.901971,27.202415,0,0,0,8.691099,31.726737,109.218809,0to2,6.00,75.40
41.00,42.00,em1,967.700224,34837208.060103,82.145170,9.691681,348900.506631,0.822698,0.429891,15476.080536,0.036492,1.589277,57213.968899,0.134909,0.059174,2130.281806,0.005023,0,0,0,0.385807,13889.051011,0.032750,-1to0,1.00,0.08
